acc_x,acc_y,acc_z
-0.027,-0.048,-0.254
-0.026,-0.015,-0.235
-0.026,0.012,-0.219
-0.025,0.034,-0.207
-0.025,0.051,-0.197
-0.024,0.065,-0.189
-0.024,0.076,-0.183
-0.024,0.085,-0.178
-0.023,0.092,-0.174
-0.023,0.098,-0.171
-0.023,0.092,-0.153
-0.024,0.088,-0.139
-0.024,0.085,-0.128
-0.024,0.082,-0.119
-0.024,0.08,-0.112
-0.024,0.078,-0.107
-0.024,0.077,-0.102
-0.024,0.076,-0.098
-0.024,0.075,-0.096
-0.024,0.074,-0.093
-0.026,0.057,-0.093
-0.027,0.043,-0.093
-0.028,0.032,-0.093
-0.029,0.024,-0.093
-0.029,0.016,-0.094
-0.03,0.011,-0.094
-0.03,0.006,-0.094
-0.031,0.003,-0.094
-0.031,-0.0,-0.094
-0.031,-0.003,-0.094
-0.043,-0.002,-0.12
-0.052,-0.002,-0.141
-0.06,-0.002,-0.158
-0.066,-0.001,-0.172
-0.07,-0.001,-0.183
-0.074,-0.001,-0.192
-0.077,-0.001,-0.199
-0.08,-0.001,-0.204
-0.082,-0.001,-0.209
-0.083,-0.001,-0.212
-0.08,0.018,-0.183
-0.077,0.034,-0.16
-0.075,0.046,-0.141
-0.073,0.056,-0.126
-0.072,0.064,-0.114
-0.071,0.07,-0.104
-0.07,0.075,-0.097
-0.069,0.079,-0.09
-0.069,0.082,-0.085
-0.068,0.085,-0.082
-0.064,0.072,-0.061
-0.06,0.062,-0.044
-0.057,0.054,-0.031
